file,chi2,convergence,niter,neval,regPen,prior,regul,mu,gamma,tau,wavemin,wavemax,spectral_feature
/home/rtc/Documents/rtpav/image_reco/GRAVITY_K/MIRA_prior-Dirac_HeI-wave-2.038-2.078um-reg-compactness_fov44_pixSc0.7/imageReco_GRAVITY_K_prior-Dirac_wave-2.038-2.078_regul-compactness_mu-316.22776601683796_gamma-50.5_fov-44_pixSc-0.7.fits,7.506590394616,True,4592,4999,0.07625189585547,Dirac,compactness,316.22776601683796,50.5,,2.038,2.078,HeI
/home/rtc/Documents/rtpav/image_reco/GRAVITY_K/MIRA_prior-Dirac_HeI-wave-2.038-2.078um-reg-compactness_fov44_pixSc0.7/imageReco_GRAVITY_K_prior-Dirac_wave-2.038-2.078_regul-compactness_mu-316.22776601683796_gamma-100.0_fov-44_pixSc-0.7.fits,7.506585253835,False,4581,5000,0.07582625364473,Dirac,compactness,316.22776601683796,100.0,,2.038,2.078,HeI
/home/rtc/Documents/rtpav/image_reco/GRAVITY_K/MIRA_prior-Dirac_HeI-wave-2.038-2.078um-reg-compactness_fov44_pixSc0.7/imageReco_GRAVITY_K_prior-Dirac_wave-2.038-2.078_regul-compactness_mu-100000.0_gamma-1.0_fov-44_pixSc-0.7.fits,7.827121888606,True,1854,2020,0.2515967742837,Dirac,compactness,100000.0,1.0,,2.038,2.078,HeI
/home/rtc/Documents/rtpav/image_reco/GRAVITY_K/MIRA_prior-Dirac_HeI-wave-2.038-2.078um-reg-compactness_fov44_pixSc0.7/imageReco_GRAVITY_K_prior-Dirac_wave-2.038-2.078_regul-compactness_mu-100000.0_gamma-50.5_fov-44_pixSc-0.7.fits,7.557816348491,True,3340,3611,0.04478156391262,Dirac,compactness,100000.0,50.5,,2.038,2.078,HeI
/home/rtc/Documents/rtpav/image_reco/GRAVITY_K/MIRA_prior-Dirac_HeI-wave-2.038-2.078um-reg-compactness_fov44_pixSc0.7/imageReco_GRAVITY_K_prior-Dirac_wave-2.038-2.078_regul-compactness_mu-100000.0_gamma-100.0_fov-44_pixSc-0.7.fits,7.557781394192,True,3385,3679,0.04462634870088,Dirac,compactness,100000.0,100.0,,2.038,2.078,HeI
/home/rtc/Documents/rtpav/image_reco/GRAVITY_K/MIRA_prior-Dirac_HeI-wave-2.038-2.078um-reg-hyperbolic_fov44_pixSc0.7/imageReco_GRAVITY_K_prior-Dirac_wave-2.038-2.078_regul-hyperbolic_mu-0.0_tau-1e-06_fov-44_pixSc-0.7.fits,7.506596323108,True,4608,4999,0.0,Dirac,hyperbolic,0.0,,1e-06,2.038,2.078,HeI
/home/rtc/Documents/rtpav/image_reco/GRAVITY_K/MIRA_prior-Dirac_HeI-wave-2.038-2.078um-reg-hyperbolic_fov44_pixSc0.7/imageReco_GRAVITY_K_prior-Dirac_wave-2.038-2.078_regul-hyperbolic_mu-0.0_tau-0.0001_fov-44_pixSc-0.7.fits,7.506596323108,True,4608,4999,0.0,Dirac,hyperbolic,0.0,,0.0001,2.038,2.078,HeI
/home/rtc/Documents/rtpav/image_reco/GRAVITY_K/MIRA_prior-Dirac_HeI-wave-2.038-2.078um-reg-hyperbolic_fov44_pixSc0.7/imageReco_GRAVITY_K_prior-Dirac_wave-2.038-2.078_regul-hyperbolic_mu-0.0_tau-0.01_fov-44_pixSc-0.7.fits,7.506596323108,True,4608,4999,0.0,Dirac,hyperbolic,0.0,,0.01,2.038,2.078,HeI
/home/rtc/Documents/rtpav/image_reco/GRAVITY_K/MIRA_prior-Dirac_HeI-wave-2.038-2.078um-reg-hyperbolic_fov44_pixSc0.7/imageReco_GRAVITY_K_prior-Dirac_wave-2.038-2.078_regul-hyperbolic_mu-0.0_tau-1.0_fov-44_pixSc-0.7.fits,7.506596323108,True,4608,4999,0.0,Dirac,hyperbolic,0.0,,1.0,2.038,2.078,HeI
/home/rtc/Documents/rtpav/image_reco/GRAVITY_K/MIRA_prior-Dirac_HeI-wave-2.038-2.078um-reg-hyperbolic_fov44_pixSc0.7/imageReco_GRAVITY_K_prior-Dirac_wave-2.038-2.078_regul-hyperbolic_mu-1.0_tau-1e-06_fov-44_pixSc-0.7.fits,7.506591200994,False,4612,5000,2.31285976578,Dirac,hyperbolic,1.0,,1e-06,2.038,2.078,HeI
/home/rtc/Documents/rtpav/image_reco/GRAVITY_K/MIRA_prior-Dirac_HeI-wave-2.038-2.078um-reg-hyperbolic_fov44_pixSc0.7/imageReco_GRAVITY_K_prior-Dirac_wave-2.038-2.078_regul-hyperbolic_mu-1.0_tau-0.0001_fov-44_pixSc-0.7.fits,7.506593569972,True,4590,4999,2.303161659829,Dirac,hyperbolic,1.0,,0.0001,2.038,2.078,HeI
/home/rtc/Documents/rtpav/image_reco/GRAVITY_K/MIRA_prior-Dirac_HeI-wave-2.038-2.078um-reg-hyperbolic_fov44_pixSc0.7/imageReco_GRAVITY_K_prior-Dirac_wave-2.038-2.078_regul-hyperbolic_mu-1.0_tau-0.01_fov-44_pixSc-0.7.fits,7.506596358863,False,4474,5000,1.912990478058,Dirac,hyperbolic,1.0,,0.01,2.038,2.078,HeI
/home/rtc/Documents/rtpav/image_reco/GRAVITY_K/MIRA_prior-Dirac_HeI-wave-2.038-2.078um-reg-hyperbolic_fov44_pixSc0.7/imageReco_GRAVITY_K_prior-Dirac_wave-2.038-2.078_regul-hyperbolic_mu-1.0_tau-1.0_fov-44_pixSc-0.7.fits,7.506595401727,False,4577,5000,0.09169967647995,Dirac,hyperbolic,1.0,,1.0,2.038,2.078,HeI
/home/rtc/Documents/rtpav/image_reco/GRAVITY_K/MIRA_prior-Dirac_HeI-wave-2.038-2.078um-reg-hyperbolic_fov44_pixSc0.7/imageReco_GRAVITY_K_prior-Dirac_wave-2.038-2.078_regul-hyperbolic_mu-316.22776601683796_tau-1e-06_fov-44_pixSc-0.7.fits,7.510921127257,False,4609,5000,1.990445945595,Dirac,hyperbolic,316.22776601683796,,1e-06,2.038,2.078,HeI
/home/rtc/Documents/rtpav/image_reco/GRAVITY_K/MIRA_prior-Dirac_HeI-wave-2.038-2.078um-reg-hyperbolic_fov44_pixSc0.7/imageReco_GRAVITY_K_prior-Dirac_wave-2.038-2.078_regul-hyperbolic_mu-316.22776601683796_tau-0.0001_fov-44_pixSc-0.7.fits,7.510920061707,False,4623,5000,1.976632511449,Dirac,hyperbolic,316.22776601683796,,0.0001,2.038,2.078,HeI
/home/rtc/Documents/rtpav/image_reco/GRAVITY_K/MIRA_prior-Dirac_HeI-wave-2.038-2.078um-reg-hyperbolic_fov44_pixSc0.7/imageReco_GRAVITY_K_prior-Dirac_wave-2.038-2.078_regul-hyperbolic_mu-316.22776601683796_tau-0.01_fov-44_pixSc-0.7.fits,7.510827007559,False,4613,5000,1.587412627376,Dirac,hyperbolic,316.22776601683796,,0.01,2.038,2.078,HeI
/home/rtc/Documents/rtpav/image_reco/GRAVITY_K/MIRA_prior-Dirac_HeI-wave-2.038-2.078um-reg-hyperbolic_fov44_pixSc0.7/imageReco_GRAVITY_K_prior-Dirac_wave-2.038-2.078_regul-hyperbolic_mu-316.22776601683796_tau-1.0_fov-44_pixSc-0.7.fits,7.506580244308,False,4589,5000,0.09165518051929,Dirac,hyperbolic,316.22776601683796,,1.0,2.038,2.078,HeI
/home/rtc/Documents/rtpav/image_reco/GRAVITY_K/MIRA_prior-Dirac_HeI-wave-2.038-2.078um-reg-hyperbolic_fov44_pixSc0.7/imageReco_GRAVITY_K_prior-Dirac_wave-2.038-2.078_regul-hyperbolic_mu-100000.0_tau-1e-06_fov-44_pixSc-0.7.fits,7.779046066649,False,4926,5000,0.878449999607,Dirac,hyperbolic,100000.0,,1e-06,2.038,2.078,HeI
/home/rtc/Documents/rtpav/image_reco/GRAVITY_K/MIRA_prior-Dirac_HeI-wave-2.038-2.078um-reg-hyperbolic_fov44_pixSc0.7/imageReco_GRAVITY_K_prior-Dirac_wave-2.038-2.078_regul-hyperbolic_mu-100000.0_tau-0.0001_fov-44_pixSc-0.7.fits,7.786556948685,True,16,68,0.8540775533681,Dirac,hyperbolic,100000.0,,0.0001,2.038,2.078,HeI
