wvl_list,ud_mean,ud_err,ud_redchi2
2.3664351829211228e-06,3.624379454129213,[0.0024735 0.0025369],67.02933548547288
2.3796496861905325e-06,3.763681461287677,[0.00278081 0.00287306],39.73254765140529
2.3928641894599423e-06,3.814082057754021,[0.00281724 0.00288691],67.29273339629523
3.891015239787521e-06,3.5050960479872253,[0.03453643 0.0319575 ],1.1762996354043713
3.778488917305367e-06,3.5160388875272637,[0.03226966 0.0321609 ],1.2155484406209216
3.662449898911291e-06,3.5616975830377995,[0.03074239 0.0305115 ],1.293861448988424
3.5441660202195635e-06,3.6263559458992054,[0.02870389 0.02748049],1.4222433291812313
3.4252404930157354e-06,3.7024424738424635,[0.02791211 0.02838   ],1.5378140687172719
3.30761167788296e-06,3.8006401434829686,[0.02603572 0.02709205],1.6887929519712965
4.983718099538237e-06,5.0212602449818124,[0.02728153 0.0269959 ],2.409137120742075
4.888258899882203e-06,4.957203816522271,[0.02609157 0.02630057],2.4698066698554184
4.800834631168982e-06,5.004454653420232,[0.02642034 0.02821125],2.8698346275870508
4.7186194933601655e-06,4.975535845251997,[0.02607346 0.02537051],2.8183187442304143
4.639124199457001e-06,4.963211718745804,[0.02501699 0.02615156],2.7958260160120507
4.560194156510988e-06,4.866474956512517,[0.02701342 0.02636945],2.535932003796882
8.011954378162045e-06,8.932884525806347,[0.33872543 0.331021  ],2.409530755308005
8.285151125164703e-06,9.271190248979442,[0.15726416 0.16010796],7.234033413637704
8.552988219889812e-06,10.196867709039164,[0.15263981 0.14561222],14.4133997103322
8.815465662337374e-06,12.416735180183135,[0.13933129 0.14082051],35.6521947558858
9.072582543012686e-06,43.93250009484361,[0.90550109 1.05582268],62.69090393611727
9.32433977141045e-06,54.84935709873167,[0.70999195 0.70600606],28.83422699601519
9.570737347530667e-06,84.36676139237308,[2.6090221  2.90565634],4.141916749323373
9.811775271373335e-06,83.84734993105067,[2.224142   2.18231408],7.600621150254906
1.0047452633443754e-05,83.8874843211334,[1.31641668 1.29994785],26.489072978216353
1.0277770343236625e-05,69.03554130801014,[1.31125811 1.69427286],14.748899956987275
1.0502728400751948e-05,85.43639095628589,[1.45403597 1.45290059],10.190590217290996
1.0722326805989724e-05,85.23879396697065,[1.71108623 1.66510574],10.011103825098422
1.093656464945525e-05,64.73575226538179,[1.16912671 1.22565739],7.700925399996008
1.1145442840643227e-05,62.94875883090233,[1.27863491 1.39989218],10.32307471712386
1.1348961379553657e-05,56.30141629668324,[1.01080479 1.03830088],8.362442000391598
1.1547120266186539e-05,60.06956734775625,[1.43990441 1.46193122],6.071248931266069
1.1739918591047172e-05,98.72631149625062,[4.31849017 4.29779549],4.873189079270136
1.1927358173124958e-05,56.528117988717696,[1.93929174 2.01176967],3.4468534233631924
1.2109436283935793e-05,90.56612829016862,[5.41587415 5.23518026],3.473082626455528
1.2286155651963782e-05,66.63767740266535,[3.23737475 3.82753584],2.282582309380048
1.2457515367714223e-05,87.81916839657532,[14.87734878 14.62228739],1.4647138332604228
1.2623514521692414e-05,287.66941878211816,[ 39.69853693 153.48240886],0.5245666133161775
1.2784154023393057e-05,280.0734346070584,[137.69305081 148.22612635],0.24161164294376863
1.2939432963321451e-05,283.5605369584487,[130.78924189 148.72899795],0.14752610035674793
